CUTOUT,SEQUENCE_LENGTH,SCORE,IDX
E1_Y2_41,10,0.9813226789554018,11540.0
C3_Y5_32,10,0.9813226583952572,5073.0
E2_Y4_38,10,0.981318491696956,689.0
C3_Y2_10,10,0.9813177529888387,11171.0
E2_Y4_7,10,0.9813163179229074,15602.0
X3_Y4_50,10,0.9813135639421428,13786.0
E1_Y2_46,10,0.9813066693204348,602.0
X3_Y3_29,10,0.981306144180466,6540.0
X3_Y3_37,10,0.9813031143266506,7955.0
E2_Y1_32,10,0.9812987226210776,4521.0
E1_Y1_57,10,0.9812968682909343,4553.0
E2_Y4_38,10,0.9812920670193308,687.0
E2_Y3_9,10,0.9812919538675726,6904.0
E1_Y1_57,10,0.9812895435619743,5342.0
E2_Y5_9,10,0.9812861381661875,15023.0
C3_Y1_58,10,0.9812845505029187,339.0
C3_Y5_25,10,0.9812822878083732,13284.0
E2_Y3_51,10,0.9812799174308977,15923.0
E1_Y1_57,10,0.9812783160104038,5343.0
E2_Y4_27,10,0.9812744361511946,20212.0
E1_Y2_47,10,0.9812743968475401,5726.0
E1_Y2_27,10,0.981268996199937,4089.0
X3_Y3_48,10,0.9812682537166253,8431.0
E1_Y2_46,10,0.9812675247066898,603.0
E2_Y3_51,10,0.9812656601012049,15926.0
X3_Y3_51,10,0.9812611341444155,694.0
X3_Y3_48,10,0.9812582991530853,8429.0
C3_Y4_35,10,0.9812570837202136,2114.0
X3_Y3_29,10,0.98125536371698,6541.0
E1_Y2_47,10,0.9812550128320435,5728.0
C3_Y5_32,10,0.9812496844240653,5072.0
C3_Y5_9,10,0.9812471521863064,12327.0
C3_Y3_34,10,0.9812336585434613,10883.0
E2_Y3_10,10,0.9812281979090578,1108.0
X3_Y1_40,10,0.9812153915976223,7351.0
E2_Y4_38,10,0.9812151659280356,686.0
E1_Y1_57,10,0.9812140273520695,5341.0
E2_Y4_51,10,0.9812122493016716,19114.0
E1_Y2_56,10,0.9812113140090508,8847.0
E1_Y2_22,10,0.9812094246519144,9706.0
C3_Y5_9,10,0.9812085746465206,12332.0
E2_Y3_51,10,0.9812055642552996,15927.0
E1_Y1_59,10,0.981197648703663,17071.0
C3_Y2_10,10,0.9811948452385186,11172.0
C3_Y4_20,10,0.9811917810105635,306.0
E2_Y5_9,10,0.981189013840272,15027.0
E2_Y3_1,10,0.9811876229980482,14264.0
E2_Y3_1,10,0.9811857118886004,14262.0
E2_Y3_1,10,0.9811841976098151,14261.0
E1_Y1_41,10,0.9811820765844121,5099.0
E2_Y5_37,10,0.981181711166396,10522.0
E2_Y4_7,10,0.9811802011548106,8608.0
E2_Y5_9,10,0.9811778344957597,15024.0
E2_Y3_1,10,0.9811749312103087,14263.0
E1_Y2_57,10,0.9811681071156685,1272.0
E2_Y3_55,10,0.9811648299724183,14598.0
X3_Y1_51,10,0.9811623036103381,483.0
X3_Y1_51,10,0.9811603973547118,480.0
